"TIME","GEO","UNIT","PROD_NRG","ENGINE","Value","Flag and Footnotes"
"1990","Belgium","Number","All Petroleum Products","Total",":",""
"1990","Belgium","Number","Diesel","Total",":",""
"1990","Bulgaria","Number","All Petroleum Products","Total",":",""
"1990","Bulgaria","Number","Diesel","Total",":",""
"1990","Czech Republic","Number","All Petroleum Products","Total",":",""
"1990","Czech Republic","Number","Diesel","Total",":",""
"1990","Denmark","Number","All Petroleum Products","Total",":",""
"1990","Denmark","Number","Diesel","Total",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total",":",""
"1990","Estonia","Number","All Petroleum Products","Total",":",""
"1990","Estonia","Number","Diesel","Total",":",""
"1990","Ireland","Number","All Petroleum Products","Total","721,000",""
"1990","Ireland","Number","Diesel","Total","73,000",""
"1990","Greece","Number","All Petroleum Products","Total",":",""
"1990","Greece","Number","Diesel","Total",":",""
"1990","Spain","Number","All Petroleum Products","Total",":",""
"1990","Spain","Number","Diesel","Total",":",""
"1990","France","Number","All Petroleum Products","Total",":",""
"1990","France","Number","Diesel","Total","3,775,000",""
"1990","Croatia","Number","All Petroleum Products","Total",":",""
"1990","Croatia","Number","Diesel","Total",":",""
"1990","Italy","Number","All Petroleum Products","Total",":",""
"1990","Italy","Number","Diesel","Total",":",""
"1990","Cyprus","Number","All Petroleum Products","Total","167,000",""
"1990","Cyprus","Number","Diesel","Total","12,000",""
"1990","Latvia","Number","All Petroleum Products","Total","325,300",""
"1990","Latvia","Number","Diesel","Total","6,400",""
"1990","Lithuania","Number","All Petroleum Products","Total",":",""
"1990","Lithuania","Number","Diesel","Total",":",""
"1990","Luxembourg","Number","All Petroleum Products","Total",":",""
"1990","Luxembourg","Number","Diesel","Total",":",""
"1990","Hungary","Number","All Petroleum Products","Total","1,929,944",""
"1990","Hungary","Number","Diesel","Total","14,609",""
"1990","Malta","Number","All Petroleum Products","Total",":",""
"1990","Malta","Number","Diesel","Total",":",""
"1990","Netherlands","Number","All Petroleum Products","Total",":",""
"1990","Netherlands","Number","Diesel","Total",":",""
"1990","Austria","Number","All Petroleum Products","Total","2,582,000",""
"1990","Austria","Number","Diesel","Total","409,000",""
"1990","Poland","Number","All Petroleum Products","Total",":",""
"1990","Poland","Number","Diesel","Total",":",""
"1990","Portugal","Number","All Petroleum Products","Total",":",""
"1990","Portugal","Number","Diesel","Total",":",""
"1990","Romania","Number","All Petroleum Products","Total",":",""
"1990","Romania","Number","Diesel","Total",":",""
"1990","Slovenia","Number","All Petroleum Products","Total",":",""
"1990","Slovenia","Number","Diesel","Total",":",""
"1990","Slovakia","Number","All Petroleum Products","Total",":",""
"1990","Slovakia","Number","Diesel","Total",":",""
"1990","Finland","Number","All Petroleum Products","Total","1,768,000","d"
"1990","Finland","Number","Diesel","Total","155,000","d"
"1990","Sweden","Number","All Petroleum Products","Total","3,494,000",""
"1990","Sweden","Number","Diesel","Total","105,000",""
"1990","United Kingdom","Number","All Petroleum Products","Total",":",""
"1990","United Kingdom","Number","Diesel","Total",":",""
"1990","Iceland","Number","All Petroleum Products","Total","114,000",""
"1990","Iceland","Number","Diesel","Total","6,000",""
"1990","Liechtenstein","Number","All Petroleum Products","Total",":",""
"1990","Liechtenstein","Number","Diesel","Total",":",""
"1990","Norway","Number","All Petroleum Products","Total","1,564,000",""
"1990","Norway","Number","Diesel","Total","49,000","d"
"1990","Switzerland","Number","All Petroleum Products","Total","2,905,000",""
"1990","Switzerland","Number","Diesel","Total","79,000",""
"1990","Former Yugoslav Republic of Macedonia, the","Number","All Petroleum Products","Total","225,004",""
"1990","Former Yugoslav Republic of Macedonia, the","Number","Diesel","Total","4,393",""
"1990","Turkey","Number","All Petroleum Products","Total",":",""
"1990","Turkey","Number","Diesel","Total",":",""
"1991","Belgium","Number","All Petroleum Products","Total",":",""
"1991","Belgium","Number","Diesel","Total",":",""
"1991","Bulgaria","Number","All Petroleum Products","Total",":",""
"1991","Bulgaria","Number","Diesel","Total",":",""
"1991","Czech Republic","Number","All Petroleum Products","Total",":",""
"1991","Czech Republic","Number","Diesel","Total",":",""
"1991","Denmark","Number","All Petroleum Products","Total",":",""
"1991","Denmark","Number","Diesel","Total",":",""
"1991","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Total","27,057,000","d"
"1991","Germany (until 1990 former territory of the FRG)","Number","Diesel","Total","4,250,000","d"
"1991","Estonia","Number","All Petroleum Products","Total",":",""
"1991","Estonia","Number","Diesel","Total",":",""
"1991","Ireland","Number","All Petroleum Products","Total",":",""
"1991","Ireland","Number","Diesel","Total",":",""
"1991","Greece","Number","All Petroleum Products","Total",":",""
"1991","Greece","Number","Diesel","Total",":",""
"1991","Spain","Number","All Petroleum Products","Total",":",""
"1991","Spain","Number","Diesel","Total",":",""
"1991","France","Number","All Petroleum Products","Total",":",""
"1991","France","Number","Diesel","Total","4,275,000",""
"1991","Croatia","Number","All Petroleum Products","Total",":",""
"1991","Croatia","Number","Diesel","Total",":",""
"1991","Italy","Number","All Petroleum Products","Total",":",""
"1991","Italy","Number","Diesel","Total",":",""
"1991","Cyprus","Number","All Petroleum Products","Total",":",""
"1991","Cyprus","Number","Diesel","Total",":",""
"1991","Latvia","Number","All Petroleum Products","Total",":",""
"1991","Latvia","Number","Diesel","Total",":",""
"1991","Lithuania","Number","All Petroleum Products","Total",":",""
"1991","Lithuania","Number","Diesel","Total",":",""
"1991","Luxembourg","Number","All Petroleum Products","Total",":",""
"1991","Luxembourg","Number","Diesel","Total",":",""
"1991","Hungary","Number","All Petroleum Products","Total",":",""
"1991","Hungary","Number","Diesel","Total",":",""
"1991","Malta","Number","All Petroleum Products","Total",":",""
"1991","Malta","Number","Diesel","Total",":",""
"1991","Netherlands","Number","All Petroleum Products","Total",":",""
"1991","Netherlands","Number","Diesel","Total",":",""
"1991","Austria","Number","All Petroleum Products","Total","2,641,000",""
"1991","Austria","Number","Diesel","Total","459,000",""
"1991","Poland","Number","All Petroleum Products","Total",":",""
"1991","Poland","Number","Diesel","Total",":",""
"1991","Portugal","Number","All Petroleum Products","Total",":",""
"1991","Portugal","Number","Diesel","Total",":",""
"1991","Romania","Number","All Petroleum Products","Total",":",""
"1991","Romania","Number","Diesel","Total",":",""
"1991","Slovenia","Number","All Petroleum Products","Total",":",""
"1991","Slovenia","Number","Diesel","Total",":",""
"1991","Slovakia","Number","All Petroleum Products","Total",":",""
"1991","Slovakia","Number","Diesel","Total",":",""
"1991","Finland","Number","All Petroleum Products","Total","1,755,000","d"
"1991","Finland","Number","Diesel","Total","152,000","d"
"1991","Sweden","Number","All Petroleum Products","Total","3,519,000",""
"1991","Sweden","Number","Diesel","Total","99,000",""
"1991","United Kingdom","Number","All Petroleum Products","Total",":",""
"1991","United Kingdom","Number","Diesel","Total",":",""
"1991","Iceland","Number","All Petroleum Products","Total","115,000",""
"1991","Iceland","Number","Diesel","Total","6,000",""
"1991","Liechtenstein","Number","All Petroleum Products","Total",":",""
"1991","Liechtenstein","Number","Diesel","Total",":",""
"1991","Norway","Number","All Petroleum Products","Total","1,562,000",""
