"TIME","GEO","UNIT","PROD_NRG","Value","Flag and Footnotes"
"1990","Belgium","Thousand","LPG",":",""
"1990","Belgium","Thousand","Natural Gas",":",""
"1990","Belgium","Thousand","Electrical Energy",":",""
"1990","Belgium","Thousand","Other products",":",""
"1990","Czech Republic","Thousand","LPG",":",""
"1990","Czech Republic","Thousand","Natural Gas",":",""
"1990","Czech Republic","Thousand","Electrical Energy",":",""
"1990","Czech Republic","Thousand","Other products",":",""
"1990","Denmark","Thousand","LPG",":",""
"1990","Denmark","Thousand","Natural Gas",":",""
"1990","Denmark","Thousand","Electrical Energy",":",""
"1990","Denmark","Thousand","Other products",":",""
"1990","Germany (until 1990 former territory of the FRG)","Thousand","LPG",":",""
"1990","Germany (until 1990 former territory of the FRG)","Thousand","Natural Gas",":",""
"1990","Germany (until 1990 former territory of the FRG)","Thousand","Electrical Energy",":",""
"1990","Germany (until 1990 former territory of the FRG)","Thousand","Other products",":",""
"1990","Estonia","Thousand","LPG",":",""
"1990","Estonia","Thousand","Natural Gas",":",""
"1990","Estonia","Thousand","Electrical Energy",":",""
"1990","Estonia","Thousand","Other products",":",""
"1990","Ireland","Thousand","LPG",":",""
"1990","Ireland","Thousand","Natural Gas",":",""
"1990","Ireland","Thousand","Electrical Energy",":",""
"1990","Ireland","Thousand","Other products",":",""
"1990","Spain","Thousand","LPG",":",""
"1990","Spain","Thousand","Natural Gas",":",""
"1990","Spain","Thousand","Electrical Energy",":",""
"1990","Spain","Thousand","Other products",":",""
"1990","France","Thousand","LPG",":",""
"1990","France","Thousand","Natural Gas",":",""
"1990","France","Thousand","Electrical Energy",":",""
"1990","France","Thousand","Other products",":",""
"1990","Croatia","Thousand","LPG",":",""
"1990","Croatia","Thousand","Natural Gas",":",""
"1990","Croatia","Thousand","Electrical Energy",":",""
"1990","Croatia","Thousand","Other products",":",""
"1990","Italy","Thousand","LPG",":",""
"1990","Italy","Thousand","Natural Gas",":",""
"1990","Italy","Thousand","Electrical Energy",":",""
"1990","Italy","Thousand","Other products",":",""
"1990","Cyprus","Thousand","LPG","0",""
"1990","Cyprus","Thousand","Natural Gas","0",""
"1990","Cyprus","Thousand","Electrical Energy","0",""
"1990","Cyprus","Thousand","Other products","0",""
"1990","Latvia","Thousand","LPG",":",""
"1990","Latvia","Thousand","Natural Gas",":",""
"1990","Latvia","Thousand","Electrical Energy","0",""
"1990","Latvia","Thousand","Other products",":",""
"1990","Luxembourg","Thousand","LPG",":",""
"1990","Luxembourg","Thousand","Natural Gas",":",""
"1990","Luxembourg","Thousand","Electrical Energy",":",""
"1990","Luxembourg","Thousand","Other products",":",""
"1990","Hungary","Thousand","LPG",":",""
"1990","Hungary","Thousand","Natural Gas",":",""
"1990","Hungary","Thousand","Electrical Energy","0",""
"1990","Hungary","Thousand","Other products",":",""
"1990","Malta","Thousand","LPG",":",""
"1990","Malta","Thousand","Natural Gas",":",""
"1990","Malta","Thousand","Electrical Energy",":",""
"1990","Malta","Thousand","Other products",":",""
"1990","Netherlands","Thousand","LPG",":",""
"1990","Netherlands","Thousand","Natural Gas",":",""
"1990","Netherlands","Thousand","Electrical Energy",":",""
"1990","Netherlands","Thousand","Other products",":",""
"1990","Austria","Thousand","LPG",":",""
"1990","Austria","Thousand","Natural Gas",":",""
"1990","Austria","Thousand","Electrical Energy",":",""
"1990","Austria","Thousand","Other products",":",""
"1990","Poland","Thousand","LPG",":",""
"1990","Poland","Thousand","Natural Gas",":",""
"1990","Poland","Thousand","Electrical Energy",":",""
"1990","Poland","Thousand","Other products",":",""
"1990","Portugal","Thousand","LPG",":",""
"1990","Portugal","Thousand","Natural Gas",":",""
"1990","Portugal","Thousand","Electrical Energy",":",""
"1990","Portugal","Thousand","Other products",":",""
"1990","Romania","Thousand","LPG",":",""
"1990","Romania","Thousand","Natural Gas",":",""
"1990","Romania","Thousand","Electrical Energy",":",""
"1990","Romania","Thousand","Other products",":",""
"1990","Slovenia","Thousand","LPG",":",""
"1990","Slovenia","Thousand","Natural Gas",":",""
"1990","Slovenia","Thousand","Electrical Energy",":",""
"1990","Slovenia","Thousand","Other products",":",""
"1990","Slovakia","Thousand","LPG",":",""
"1990","Slovakia","Thousand","Natural Gas",":",""
"1990","Slovakia","Thousand","Electrical Energy",":",""
"1990","Slovakia","Thousand","Other products",":",""
"1990","Finland","Thousand","LPG",":",""
"1990","Finland","Thousand","Natural Gas","0",""
"1990","Finland","Thousand","Electrical Energy","0",""
"1990","Finland","Thousand","Other products",":",""
"1990","Sweden","Thousand","LPG",":",""
"1990","Sweden","Thousand","Natural Gas",":",""
"1990","Sweden","Thousand","Electrical Energy",":",""
"1990","Sweden","Thousand","Other products",":",""
"1990","United Kingdom","Thousand","LPG",":",""
"1990","United Kingdom","Thousand","Natural Gas",":",""
"1990","United Kingdom","Thousand","Electrical Energy",":",""
"1990","United Kingdom","Thousand","Other products",":",""
"1990","Iceland","Thousand","LPG",":",""
"1990","Iceland","Thousand","Natural Gas",":",""
"1990","Iceland","Thousand","Electrical Energy","0",""
"1990","Iceland","Thousand","Other products",":",""
"1990","Liechtenstein","Thousand","LPG",":",""
"1990","Liechtenstein","Thousand","Natural Gas",":",""
"1990","Liechtenstein","Thousand","Electrical Energy",":",""
"1990","Liechtenstein","Thousand","Other products",":",""
"1990","Norway","Thousand","LPG",":",""
