"TIME","GEO","UNIT","AGE","Value","Flag and Footnotes"
"1990","Belgium","Number","Less than 2 years",":",""
"1990","Belgium","Number","From 2 to 5 years",":",""
"1990","Belgium","Number","From 5 to 10 years",":",""
"1990","Belgium","Number","Over 10 years",":",""
"1990","Bulgaria","Number","Less than 2 years",":",""
"1990","Bulgaria","Number","From 2 to 5 years",":",""
"1990","Bulgaria","Number","From 5 to 10 years",":",""
"1990","Bulgaria","Number","Over 10 years",":",""
"1990","Czech Republic","Number","Less than 2 years",":",""
"1990","Czech Republic","Number","From 2 to 5 years",":",""
"1990","Czech Republic","Number","From 5 to 10 years",":",""
"1990","Czech Republic","Number","Over 10 years",":",""
"1990","Denmark","Number","Less than 2 years",":",""
"1990","Denmark","Number","From 2 to 5 years",":",""
"1990","Denmark","Number","From 5 to 10 years",":",""
"1990","Denmark","Number","Over 10 years",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","Less than 2 years",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","From 2 to 5 years",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","From 5 to 10 years",":",""
"1990","Germany (until 1990 former territory of the FRG)","Number","Over 10 years",":",""
"1990","Estonia","Number","Less than 2 years",":",""
"1990","Estonia","Number","From 2 to 5 years",":",""
"1990","Estonia","Number","From 5 to 10 years",":",""
"1990","Estonia","Number","Over 10 years",":",""
"1990","Ireland","Number","Less than 2 years","207,000",""
"1990","Ireland","Number","From 2 to 5 years","166,000",""
"1990","Ireland","Number","From 5 to 10 years","306,000",""
"1990","Ireland","Number","Over 10 years","117,000",""
"1990","Greece","Number","Less than 2 years",":",""
"1990","Greece","Number","From 2 to 5 years",":",""
"1990","Greece","Number","From 5 to 10 years",":",""
"1990","Greece","Number","Over 10 years",":",""
"1990","Spain","Number","Less than 2 years",":",""
"1990","Spain","Number","From 2 to 5 years",":",""
"1990","Spain","Number","From 5 to 10 years",":",""
"1990","Spain","Number","Over 10 years",":",""
"1990","France","Number","Less than 2 years",":",""
"1990","France","Number","From 2 to 5 years",":",""
"1990","France","Number","From 5 to 10 years",":",""
"1990","France","Number","Over 10 years",":",""
"1990","Croatia","Number","Less than 2 years",":",""
"1990","Croatia","Number","From 2 to 5 years",":",""
"1990","Croatia","Number","From 5 to 10 years",":",""
"1990","Croatia","Number","Over 10 years",":",""
"1990","Italy","Number","Less than 2 years",":",""
"1990","Italy","Number","From 2 to 5 years",":",""
"1990","Italy","Number","From 5 to 10 years",":",""
"1990","Italy","Number","Over 10 years",":",""
"1990","Cyprus","Number","Less than 2 years",":",""
"1990","Cyprus","Number","From 2 to 5 years",":",""
"1990","Cyprus","Number","From 5 to 10 years",":",""
"1990","Cyprus","Number","Over 10 years",":",""
"1990","Latvia","Number","Less than 2 years",":",""
"1990","Latvia","Number","From 2 to 5 years",":",""
"1990","Latvia","Number","From 5 to 10 years",":",""
"1990","Latvia","Number","Over 10 years",":",""
"1990","Lithuania","Number","Less than 2 years",":",""
"1990","Lithuania","Number","From 2 to 5 years",":",""
"1990","Lithuania","Number","From 5 to 10 years",":",""
"1990","Lithuania","Number","Over 10 years",":",""
"1990","Luxembourg","Number","Less than 2 years",":",""
"1990","Luxembourg","Number","From 2 to 5 years",":",""
"1990","Luxembourg","Number","From 5 to 10 years",":",""
"1990","Luxembourg","Number","Over 10 years",":",""
"1990","Hungary","Number","Less than 2 years",":",""
"1990","Hungary","Number","From 2 to 5 years",":",""
"1990","Hungary","Number","From 5 to 10 years",":",""
"1990","Hungary","Number","Over 10 years",":",""
"1990","Malta","Number","Less than 2 years",":",""
"1990","Malta","Number","From 2 to 5 years",":",""
"1990","Malta","Number","From 5 to 10 years",":",""
"1990","Malta","Number","Over 10 years",":",""
"1990","Netherlands","Number","Less than 2 years",":",""
"1990","Netherlands","Number","From 2 to 5 years",":",""
"1990","Netherlands","Number","From 5 to 10 years",":",""
"1990","Netherlands","Number","Over 10 years",":",""
"1990","Austria","Number","Less than 2 years",":",""
"1990","Austria","Number","From 2 to 5 years",":",""
"1990","Austria","Number","From 5 to 10 years",":",""
"1990","Austria","Number","Over 10 years",":",""
"1990","Poland","Number","Less than 2 years",":",""
"1990","Poland","Number","From 2 to 5 years",":",""
"1990","Poland","Number","From 5 to 10 years",":",""
"1990","Poland","Number","Over 10 years",":",""
"1990","Portugal","Number","Less than 2 years",":",""
"1990","Portugal","Number","From 2 to 5 years",":",""
"1990","Portugal","Number","From 5 to 10 years",":",""
"1990","Portugal","Number","Over 10 years",":",""
"1990","Romania","Number","Less than 2 years",":",""
"1990","Romania","Number","From 2 to 5 years",":",""
"1990","Romania","Number","From 5 to 10 years",":",""
"1990","Romania","Number","Over 10 years",":",""
"1990","Slovenia","Number","Less than 2 years",":",""
"1990","Slovenia","Number","From 2 to 5 years",":",""
"1990","Slovenia","Number","From 5 to 10 years",":",""
"1990","Slovenia","Number","Over 10 years",":",""
"1990","Slovakia","Number","Less than 2 years",":",""
"1990","Slovakia","Number","From 2 to 5 years",":",""
"1990","Slovakia","Number","From 5 to 10 years",":",""
"1990","Slovakia","Number","Over 10 years",":",""
"1990","Finland","Number","Less than 2 years",":",""
"1990","Finland","Number","From 2 to 5 years",":",""
"1990","Finland","Number","From 5 to 10 years",":",""
"1990","Finland","Number","Over 10 years",":",""
"1990","Sweden","Number","Less than 2 years",":",""
"1990","Sweden","Number","From 2 to 5 years",":",""
