"TIME","GEO","WEIGHT","UNIT","Value","Flag and Footnotes"
"1996","Denmark","Less than 1 000 kg","Number","1,135,000",""
"1996","Denmark","From 1 000 to 1 249 kg","Number","421,000",""
"1996","Denmark","From 1 250 to 1 499 kg","Number","161,000",""
"1996","Denmark","1 500 kg or over","Number","21,000",""
"1996","Estonia","Less than 1 000 kg","Number",":",""
"1996","Estonia","From 1 000 to 1 249 kg","Number",":",""
"1996","Estonia","From 1 250 to 1 499 kg","Number",":",""
"1996","Estonia","1 500 kg or over","Number",":",""
"1996","Spain","Less than 1 000 kg","Number",":",""
"1996","Spain","From 1 000 to 1 249 kg","Number",":",""
"1996","Spain","From 1 250 to 1 499 kg","Number",":",""
"1996","Spain","1 500 kg or over","Number",":",""
"1996","France","Less than 1 000 kg","Number",":",""
"1996","France","From 1 000 to 1 249 kg","Number",":",""
"1996","France","From 1 250 to 1 499 kg","Number",":",""
"1996","France","1 500 kg or over","Number",":",""
"1996","Croatia","Less than 1 000 kg","Number",":",""
"1996","Croatia","From 1 000 to 1 249 kg","Number",":",""
"1996","Croatia","From 1 250 to 1 499 kg","Number",":",""
"1996","Croatia","1 500 kg or over","Number",":",""
"1996","Cyprus","Less than 1 000 kg","Number",":",""
"1996","Cyprus","From 1 000 to 1 249 kg","Number",":",""
"1996","Cyprus","From 1 250 to 1 499 kg","Number",":",""
"1996","Cyprus","1 500 kg or over","Number",":",""
"1996","Latvia","Less than 1 000 kg","Number",":",""
"1996","Latvia","From 1 000 to 1 249 kg","Number",":",""
"1996","Latvia","From 1 250 to 1 499 kg","Number",":",""
"1996","Latvia","1 500 kg or over","Number",":",""
"1996","Luxembourg","Less than 1 000 kg","Number",":",""
"1996","Luxembourg","From 1 000 to 1 249 kg","Number",":",""
"1996","Luxembourg","From 1 250 to 1 499 kg","Number",":",""
"1996","Luxembourg","1 500 kg or over","Number",":",""
"1996","Hungary","Less than 1 000 kg","Number",":",""
"1996","Hungary","From 1 000 to 1 249 kg","Number",":",""
"1996","Hungary","From 1 250 to 1 499 kg","Number",":",""
"1996","Hungary","1 500 kg or over","Number",":",""
"1996","Malta","Less than 1 000 kg","Number",":",""
"1996","Malta","From 1 000 to 1 249 kg","Number",":",""
"1996","Malta","From 1 250 to 1 499 kg","Number",":",""
"1996","Malta","1 500 kg or over","Number",":",""
"1996","Netherlands","Less than 1 000 kg","Number",":",""
"1996","Netherlands","From 1 000 to 1 249 kg","Number",":",""
"1996","Netherlands","From 1 250 to 1 499 kg","Number",":",""
"1996","Netherlands","1 500 kg or over","Number",":",""
"1996","Austria","Less than 1 000 kg","Number",":",""
"1996","Austria","From 1 000 to 1 249 kg","Number",":",""
"1996","Austria","From 1 250 to 1 499 kg","Number",":",""
