"TIME","GEO","UNIT","PROD_NRG","ENGINE","Value","Flag and Footnotes"
"1970","Belgium","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Belgium","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Belgium","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Belgium","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Belgium","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Belgium","Number","Diesel","2 000 cm³ or over",":",""
"1970","Bulgaria","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Bulgaria","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Bulgaria","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Bulgaria","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Bulgaria","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Bulgaria","Number","Diesel","2 000 cm³ or over",":",""
"1970","Czech Republic","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Czech Republic","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Czech Republic","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Czech Republic","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Czech Republic","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Czech Republic","Number","Diesel","2 000 cm³ or over",":",""
"1970","Denmark","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Denmark","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Denmark","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Denmark","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Denmark","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Denmark","Number","Diesel","2 000 cm³ or over",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Germany (until 1990 former territory of the FRG)","Number","Diesel","2 000 cm³ or over",":",""
"1970","Estonia","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Estonia","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Estonia","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Estonia","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Estonia","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Estonia","Number","Diesel","2 000 cm³ or over",":",""
"1970","Ireland","Number","All Petroleum Products","Less than 1 400 cm³","40,749",""
"1970","Ireland","Number","All Petroleum Products","From 1 400 to 1 999 cm³","9,843",""
"1970","Ireland","Number","All Petroleum Products","2 000 cm³ or over","2,355",""
"1970","Ireland","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Ireland","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Ireland","Number","Diesel","2 000 cm³ or over",":",""
"1970","Greece","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Greece","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Greece","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Greece","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Greece","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Greece","Number","Diesel","2 000 cm³ or over",":",""
"1970","Spain","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Spain","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Spain","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Spain","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Spain","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Spain","Number","Diesel","2 000 cm³ or over",":",""
"1970","France","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","France","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","France","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","France","Number","Diesel","Less than 1 400 cm³",":",""
"1970","France","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","France","Number","Diesel","2 000 cm³ or over",":",""
"1970","Croatia","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Croatia","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Croatia","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Croatia","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Croatia","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Croatia","Number","Diesel","2 000 cm³ or over",":",""
"1970","Italy","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Italy","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Italy","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Italy","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Italy","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Italy","Number","Diesel","2 000 cm³ or over",":",""
"1970","Cyprus","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Cyprus","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Cyprus","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Cyprus","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Cyprus","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Cyprus","Number","Diesel","2 000 cm³ or over",":",""
"1970","Latvia","Number","All Petroleum Products","Less than 1 400 cm³",":",""
"1970","Latvia","Number","All Petroleum Products","From 1 400 to 1 999 cm³",":",""
"1970","Latvia","Number","All Petroleum Products","2 000 cm³ or over",":",""
"1970","Latvia","Number","Diesel","Less than 1 400 cm³",":",""
"1970","Latvia","Number","Diesel","From 1 400 to 1 999 cm³",":",""
"1970","Latvia","Number","Diesel","2 000 cm³ or over",":",""
"1970","Lithuania","Number","All Petroleum Products","Less than 1 400 cm³",":",""
