Znamka,Leto,St_prodanih,Delez_na_trgu(%)
Aston Martin,1997,488,0
Aston Martin,1998,425,0
Aston Martin,1999,485,0
Aston Martin,2e3,691,0
Aston Martin,2001,763,0.01
Aston Martin,2002,796,0.01
Aston Martin,2003,709,0
Aston Martin,2004,1064,0.01
Aston Martin,2005,2701,0.02
Aston Martin,2006,3809,0.02
Aston Martin,2007,3963,0.03
Aston Martin,2008,3301,0.02
Aston Martin,2009,2308,0.02
Aston Martin,2010,2315,0.02
Aston Martin,2011,2363,0.02
Aston Martin,2012,1829,0.01
Aston Martin,2013,1853,0.02
Aston Martin,2014,1559,0.01
Aston Martin,2015,1623,0.01
Aston Martin,2016,1508,0.01
Audi,1990,369189,2.73
Audi,1991,395382,2.9499999999999997
Audi,1992,414938,3.07
Audi,1993,308060,2.74
Audi,1994,312690,2.62
Audi,1995,376980,3.13
Audi,1996,411213,3.21
Audi,1997,460721,3.42
Audi,1998,486734,3.3699999999999997
Audi,1999,514825,3.36
Audi,2e3,488376,3.25
Audi,2001,541799,3.6
Audi,2002,549385,3.74
Audi,2003,542074,3.75
Audi,2004,572706,3.54
Audi,2005,625024,3.8699999999999997
Audi,2006,639911,4.109999999999999
Audi,2007,660632,4.21
Audi,2008,661801,4.57
Audi,2009,617606,4.23
Audi,2010,630561,4.53
Audi,2011,693233,5.01
Audi,2012,705023,5.619999999999999
Audi,2013,695456,5.67
Audi,2014,722653,5.59
Audi,2015,763308,5.41
Audi,2016,820151,5.46
Bentley,2e3,629,0
Bentley,2001,529,0
Bentley,2002,482,0
Bentley,2003,376,0
Bentley,2004,3013,0.02
Bentley,2005,3543,0.02
Bentley,2006,3369,0.02
Bentley,2007,3759,0.02
Bentley,2008,2826,0.02
Bentley,2009,1473,0.01
Bentley,2010,1578,0.01
Bentley,2011,1774,0.01
Bentley,2012,2220,0.02
Bentley,2013,2164,0.02
Bentley,2014,2443,0.02
Bentley,2015,2419,0.02
Bentley,2016,3595,0.02
BMW,1990,363598,2.69
BMW,1991,413831,3.08
BMW,1992,444155,3.29
BMW,1993,366800,3.2600000000000002
BMW,1994,387855,3.25
BMW,1995,392588,3.2600000000000002
BMW,1996,428759,3.3499999999999996
BMW,1997,430694,3.2
BMW,1998,444979,3.08
BMW,1999,484164,3.16
BMW,2e3,497328,3.3099999999999996
BMW,2001,521635,3.46
BMW,2002,516e3,3.51
BMW,2003,506202,3.51
BMW,2004,593743,3.67
BMW,2005,660319,4.09
BMW,2006,680074,4.37
BMW,2007,704581,4.49
BMW,2008,676467,4.68
BMW,2009,571184,3.9099999999999997
BMW,2010,609939,4.38
BMW,2011,649893,4.6899999999999995
BMW,2012,640729,5.109999999999999
BMW,2013,639656,5.22
BMW,2014,672376,5.2
BMW,2015,743466,5.2700000000000005
BMW,2016,816888,5.44
Cadillac,1997,335,0
Cadillac,1998,1184,0.01
Cadillac,1999,1037,0.01
Cadillac,2e3,932,0.01
Cadillac,2001,704,0
Cadillac,2002,382,0
Cadillac,2003,718,0
Cadillac,2004,1303,0.01
Cadillac,2005,2185,0.01
Cadillac,2006,2933,0.02
Cadillac,2007,3007,0.02
Cadillac,2008,2663,0.02
Cadillac,2009,1219,0.01
Cadillac,2010,1201,0.01
Cadillac,2011,585,0
Cadillac,2012,456,0
Cadillac,2013,391,0
Cadillac,2014,382,0
Cadillac,2015,584,0
Cadillac,2016,761,0.01
Chrysler,1995,52534,0.44
Chrysler,1996,63434,0.5
Chrysler,1997,59739,0
Chrysler,1998,59703,0
Chrysler,1999,57701,0
Chrysler,2e3,66882,0.45
Chrysler,2001,73827,0.49
Chrysler,2002,65037,0.44
Chrysler,2003,56366,0.39
Chrysler,2004,59739,0.37
Chrysler,2005,58059,0.36
Chrysler,2006,59744,0.38
Chrysler,2007,47212,0.3
Chrysler,2008,28814,0.2
Chrysler,2009,12445,0.09
Chrysler,2010,10506,0.08
Chrysler,2011,4679,0.03
Chrysler,2012,3725,0.03
Chrysler,2013,2695,0.02
Chrysler,2014,2119,0.02
Chrysler,2015,213,0
Chrysler,2016,45,0
